Team,Agents,Total_Frames,Team_Spread,Coordination_Score,Map_Presence,Best_Performer,Most_Active,Highest_Coverage
team1,team1_0|team1_1|team1_2|team1_3|team1_4|team1_15,24261,216.8,0.921,2.5,team1_0,team1_2,team1_2
team2,team2_5|team2_6|team2_7|team2_8|team2_9|team2_10|team2_11|team2_12|team2_13|team2_14,21094,108.5,0.449,4.9,team2_8,team2_6,team2_6
